title,author,price,edition,publish_date,item_url,image_url,category,released_year
Pride and Pleasure,Sylvia Day,12.69,Paperback,28 Feb 2013,https://www.bookdepository.com/Pride-Pleasure-Sylvia-Day/9781405912372?ref=grid-view&qid=1630182815653&sr=1-61,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4059/9781405912372.jpg,Romance,2013
The Wedding Date,Jasmine Guillory,13.27                             ,Paperback,30 Jan 2018,https://www.bookdepository.com/Wedding-Date-Jasmine-Guillory/9781472255877?ref=grid-view&qid=1630182815653&sr=1-62,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4722/9781472255877.jpg,Romance,2018
Beaded Romance,Kelly Wiese,40.85,Paperback,28 Jun 2013,https://www.bookdepository.com/Beaded-Romance-Kelly-Wiese/9781440232138?ref=grid-view&qid=1630182815653&sr=1-63,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4402/9781440232138.jpg,Romance,2013
Romancing the Beat,Gwen Hayes,12.84,Paperback,02 Apr 2016,https://www.bookdepository.com/Romancing-Beat-Gwen-Hayes/9781530838615?ref=grid-view&qid=1630182815653&sr=1-64,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5308/9781530838615.jpg,Romance,2016
"I, Isaac, Take Thee, Rebekah",Ravi Zacharias,14.44                             ,Paperback,03 Apr 2005,https://www.bookdepository.com/I-Isaac-Take-Thee-Rebekah-Ravi-Zacharias/9780849908224?ref=grid-view&qid=1630182815653&sr=1-65,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8499/9780849908224.jpg,Romance,2005
A Thousand Days In Venice,Marlena De Blasi,10.71                             ,Paperback,20 Mar 2003,https://www.bookdepository.com/Thousand-Days-Venice-Marlena-De-Blasi/9781844080205?ref=grid-view&qid=1630182815653&sr=1-66,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8440/9781844080205.jpg,Romance,2003
Modern Romance,Aziz Ansari,32.87,Hardback,19 Aug 2015,https://www.bookdepository.com/Modern-Romance-Aziz-Ansari/9781594206276?ref=grid-view&qid=1630182815653&sr=1-67,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5942/9781594206276.jpg,Romance,2015
A Cornish Stranger,Liz Fenwick,10.45                             ,Paperback,23 Apr 2015,https://www.bookdepository.com/Cornish-Stranger-Liz-Fenwick/9781409148241?ref=grid-view&qid=1630182815653&sr=1-68,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4091/9781409148241.jpg,Romance,2015
And Baby Makes Three,John Gottman,15.47,Paperback,23 Jan 2008,https://www.bookdepository.com/Baby-Makes-Three-John-Gottman/9781400097388?ref=grid-view&qid=1630182815653&sr=1-69,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4000/9781400097388.jpg,Romance,2008
Romance of the Grail,Joseph Campbell,22.92                             ,Hardback,15 Dec 2015,https://www.bookdepository.com/Romance-Grail-Joseph-Campbell/9781608683246?ref=grid-view&qid=1630182815653&sr=1-70,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6086/9781608683246.jpg,Romance,2015
